Pays,Disponibilité alimentaire (Kcal/personne/jour),Disponibilité alimentaire en quantité (kg/personne/an),Disponibilité de matière grasse en quantité (g/personne/jour),Disponibilité de protéines en quantité (g/personne/jour),Disponibilité intérieure,Exportations - Quantité,Importations - Quantité,Nourriture,Production,Nombre Habitant,Evolution_pop %,Balance commerciale
Géorgie,51.0,15.27,3.21,5.19,61.0,5.0,51.0,61.0,22.0,4008716,-0.38,-46.0
Haïti,31.0,8.91,2.11,2.75,98.0,0.0,89.0,98.0,9.0,10982366,2.68,-89.0
Honduras,93.0,21.73,7.11,6.98,205.0,1.0,12.0,205.0,193.0,9429013,3.47,-11.0
Hongrie,104.0,25.27,6.93,9.8,266.0,210.0,58.0,246.0,493.0,9729823,-0.49,152.0
Inde,7.0,2.22,0.47,0.75,3661.0,4.0,0.0,2965.0,3545.0,1338676785,2.18,4.0
Indonésie,25.0,7.19,1.61,2.42,2323.0,0.0,1.0,1904.0,2301.0,264650963,2.43,-1.0
Iran (République islamique d'),96.0,27.52,5.99,9.8,2220.0,45.0,6.0,2220.0,2174.0,80673883,2.78,39.0
Iraq,52.0,14.95,3.23,5.37,566.0,0.0,470.0,561.0,96.0,37552781,5.57,-470.0
Irlande,100.0,25.82,5.66,11.6,128.0,93.0,99.0,123.0,110.0,4753279,2.17,-6.0
Islande,104.0,29.95,5.7,12.33,10.0,0.0,2.0,10.0,10.0,334393,1.26,-2.0
Israël,234.0,67.39,12.83,27.87,636.0,3.0,0.0,556.0,629.0,8243848,3.33,3.0
Italie,65.0,18.88,3.48,7.83,1173.0,183.0,97.0,1146.0,1315.0,60673701,0.16,86.0
Jamaïque,178.0,51.1,12.18,15.71,152.0,1.0,31.0,149.0,128.0,2920848,1.03,-30.0
Japon,67.0,18.5,3.95,7.24,2415.0,10.0,1069.0,2359.0,2215.0,127502725,-0.38,-1059.0
Jordanie,98.0,28.07,6.04,10.1,275.0,10.0,64.0,275.0,210.0,9785843,5.6,-54.0
Kazakhstan,61.0,18.27,3.86,6.18,331.0,6.0,174.0,330.0,171.0,18080019,2.89,-168.0
Kenya,2.0,0.67,0.14,0.23,35.0,0.0,0.0,34.0,35.0,50221142,4.89,0.0
Kirghizistan,11.0,3.1,0.73,1.08,32.0,0.0,25.0,19.0,7.0,6189733,3.87,-25.0
Kiribati,63.0,17.98,3.81,6.65,2.0,0.0,1.0,2.0,1.0,114158,2.91,-1.0
Koweït,156.0,46.25,9.79,15.87,189.0,4.0,137.0,188.0,56.0,4056099,5.75,-133.0
Lesotho,27.0,7.93,1.71,2.72,17.0,0.0,15.0,17.0,2.0,2091534,1.58,-15.0
Lettonie,72.0,20.89,4.53,7.22,41.0,20.0,43.0,41.0,33.0,1951097,-2.33,-23.0
Liban,38.0,10.74,2.33,3.9,73.0,4.0,13.0,73.0,64.0,6819373,4.39,-9.0
Libéria,36.0,10.67,2.25,3.74,50.0,0.0,48.0,50.0,15.0,4702226,5.14,-48.0
Lituanie,96.0,28.19,6.03,9.74,82.0,68.0,44.0,80.0,118.0,2845414,-2.95,24.0
Luxembourg,69.0,18.33,4.28,7.19,11.0,1.0,11.0,11.0,0.0,591910,4.44,-10.0
Macédoine du Nord,68.0,19.73,4.17,7.01,41.0,1.0,40.0,41.0,2.0,2081996,0.13,-39.0
Madagascar,14.0,2.87,1.13,0.97,82.0,0.0,0.0,73.0,81.0,25570512,5.51,0.0
Malaisie,142.0,39.21,9.65,12.95,1621.0,44.0,68.0,1220.0,1724.0,31104646,2.75,-24.0
Malawi,17.0,5.17,1.09,1.74,98.0,0.0,0.0,91.0,130.0,17670196,5.52,0.0
Mali,9.0,2.83,0.6,0.96,52.0,0.0,1.0,52.0,48.0,18512430,6.16,-1.0
Malte,103.0,27.17,5.41,12.68,14.0,0.0,9.0,12.0,4.0,437933,1.01,-9.0
Maroc,70.0,20.96,4.35,7.29,746.0,1.0,3.0,746.0,762.0,35581255,2.65,-2.0
